序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2738,300328,宜安科技,6.2,0.32,0.02,63624.0,39379689.15,2.1,6.27,6.14,6.18,6.18,0.79,0.93,-2257.08,3.94,4280626320.0,4224155945.0,0.16,0.0,-12.92,3.68
2739,600925,苏能股份,6.21,0.32,0.02,213287.0,131947579.0,0.97,6.21,6.15,6.18,6.19,0.8,3.1,12.43,2.7,42780000001.0,4278000001.0,0.0,0.16,0.49,0.49
2740,603396,金辰股份,65.47,0.32,0.21,26602.0,175604791.0,3.43,67.12,64.88,64.96,65.26,0.81,2.29,72.89,5.13,7605519091.0,7594512275.0,0.0,0.03,-26.01,-21.35
2741,002217,合力泰,3.12,0.32,0.01,351758.0,109212853.96,3.22,3.16,3.06,3.1,3.11,0.91,1.13,-5.49,1.93,9723218606.0,9712604788.0,0.0,0.0,5.41,22.35
2742,000701,厦门信达,6.27,0.32,0.02,86068.0,53376863.0,2.72,6.3,6.13,6.25,6.25,0.59,2.09,123.42,7.38,3542602518.0,2577498762.0,0.16,0.16,-17.93,7.0
2743,600133,东湖高新,6.32,0.32,0.02,288380.0,181986136.0,1.43,6.36,6.27,6.32,6.3,0.82,3.62,20.35,0.81,5028305653.0,5028305653.0,0.16,0.32,7.12,14.91
2744,600967,内蒙一机,9.49,0.32,0.03,127841.0,120911528.0,1.9,9.55,9.37,9.41,9.46,0.87,0.76,18.91,1.45,16168865149.0,16034605943.0,0.0,-0.11,5.33,14.89
2745,300121,阳谷华泰,9.5,0.32,0.03,40620.0,38445298.72,1.58,9.53,9.38,9.41,9.47,0.43,1.04,10.86,1.34,3845323265.0,3707219276.0,0.21,0.11,-20.57,-8.3
2746,603577,汇金通,9.56,0.31,0.03,17818.0,17109434.0,2.41,9.68,9.45,9.53,9.53,1.16,0.62,161.57,1.84,3242169796.0,2755844327.0,0.0,-0.1,-13.95,-7.18
2747,872541,铁大科技,3.2,0.31,0.01,8335.0,2659226.5,1.57,3.21,3.16,3.18,3.19,0.49,1.56,12.26,1.16,437440000.0,171265869.0,0.0,0.63,-17.95,-17.95
2748,601600,中国铝业,6.41,0.31,0.02,1512024.0,970654475.0,4.38,6.53,6.25,6.33,6.39,1.24,1.16,15.17,2.02,110005801842.0,83834511761.0,-0.47,-0.31,19.81,43.4
